report_date,department,revenue,leads_generated,customers_acquired,conversion_rate,customer_acquisition_cost,total_acquisition_cost,roi,month_name,quarter,year
2024-07-20,Sales,792719.11,247,60,0.2436,228.45,13706.84,56.8338,July,Q3,2024
2024-07-20,Marketing,99513.18,1534,171,0.112,125.71,21495.62,3.6295,July,Q3,2024
2024-07-20,Operations,308581.38,67,30,0.4571,98.3,2948.96,103.6408,July,Q3,2024
2024-07-20,Customer Success,208809.52,52,8,0.1676,240.07,1920.53,107.7252,July,Q3,2024
2024-07-20,Finance,95988.36,64,16,0.2647,151.64,2426.24,38.5627,July,Q3,2024
2024-08-19,Sales,630936.34,363,41,0.1139,191.34,7844.98,79.4255,August,Q3,2024
2024-08-19,Marketing,46963.79,1935,113,0.0587,109.89,12417.88,2.7819,August,Q3,2024
2024-08-19,Operations,354692.19,67,22,0.3339,114.9,2527.79,139.3173,August,Q3,2024
2024-08-19,Customer Success,112018.0,25,5,0.221,201.98,1009.88,109.9222,August,Q3,2024
2024-08-19,Finance,216761.15,22,6,0.2859,138.44,830.62,259.9623,August,Q3,2024
2024-09-18,Sales,1057464.25,263,54,0.2082,268.01,14472.56,72.0668,September,Q3,2024
2024-09-18,Marketing,77082.3,1692,157,0.0932,88.62,13912.68,4.5404,September,Q3,2024
2024-09-18,Operations,244202.16,73,33,0.4658,148.65,4905.51,48.7812,September,Q3,2024
2024-09-18,Customer Success,100249.59,68,19,0.2938,241.69,4592.06,20.8311,September,Q3,2024
2024-09-18,Finance,193258.55,60,8,0.1398,207.53,1660.26,115.4027,September,Q3,2024
2024-10-18,Sales,833607.32,373,69,0.1855,189.28,13060.61,62.8261,October,Q4,2024
2024-10-18,Marketing,74072.86,1002,116,0.1159,94.8,10996.58,5.736,October,Q4,2024
2024-10-18,Operations,222900.7,99,33,0.3433,117.22,3868.13,56.6249,October,Q4,2024
2024-10-18,Customer Success,215474.72,67,10,0.1628,173.24,1732.42,123.3775,October,Q4,2024
2024-10-18,Finance,140814.32,72,8,0.1171,194.9,1559.16,89.3141,October,Q4,2024
2024-11-17,Sales,775027.41,241,55,0.2295,274.59,15102.48,50.3179,November,Q4,2024
2024-11-17,Marketing,118518.32,1258,85,0.0678,89.96,7646.62,14.4994,November,Q4,2024
2024-11-17,Operations,222191.23,87,26,0.3081,123.37,3207.5,68.2725,November,Q4,2024
2024-11-17,Customer Success,189425.65,64,18,0.2925,245.08,4411.36,41.9404,November,Q4,2024
2024-11-17,Finance,114938.85,67,16,0.242,101.52,1624.36,69.7597,November,Q4,2024
2024-12-17,Sales,980564.5,298,65,0.2201,208.13,13528.56,71.4811,December,Q4,2024
2024-12-17,Marketing,60094.04,1695,171,0.1009,110.74,18937.1,2.1734,December,Q4,2024
2024-12-17,Operations,327809.25,90,30,0.3406,114.31,3429.38,94.5886,December,Q4,2024
2024-12-17,Customer Success,210486.51,28,6,0.2399,221.33,1327.97,157.5024,December,Q4,2024
2024-12-17,Finance,281779.2,60,12,0.2092,196.97,2363.66,118.2129,December,Q4,2024
2025-01-16,Sales,2459060.13,316,97,0.3092,188.85,18318.18,133.2415,January,Q1,2025
2025-01-16,Marketing,59793.98,1113,102,0.0923,144.66,14755.8,3.0522,January,Q1,2025
2025-01-16,Operations,320490.94,80,31,0.3919,86.12,2669.78,119.0442,January,Q1,2025
2025-01-16,Customer Success,214550.44,43,11,0.2676,180.76,1988.41,106.9006,January,Q1,2025
2025-01-16,Finance,211664.2,69,7,0.1031,122.57,858.01,245.6915,January,Q1,2025
2025-02-15,Sales,1238707.55,249,38,0.1544,217.96,8282.45,148.558,February,Q1,2025
2025-02-15,Marketing,111344.86,1687,129,0.077,191.55,24710.03,3.5061,February,Q1,2025
2025-02-15,Operations,300966.1,100,36,0.3686,93.13,3352.57,88.7718,February,Q1,2025
2025-02-15,Customer Success,257321.72,71,7,0.1027,189.54,1326.8,192.9419,February,Q1,2025
2025-02-15,Finance,156105.7,79,12,0.1548,179.7,2156.35,71.3933,February,Q1,2025
2025-03-17,Sales,1101978.34,217,43,0.1999,255.46,10984.82,99.3183,March,Q1,2025
2025-03-17,Marketing,80384.56,1436,119,0.0833,157.73,18770.07,3.2826,March,Q1,2025
2025-03-17,Operations,668750.7,100,54,0.5481,137.95,7449.45,88.7718,March,Q1,2025
2025-03-17,Customer Success,230486.45,43,8,0.1874,224.19,1793.54,127.5092,March,Q1,2025
2025-03-17,Finance,217860.44,42,4,0.115,237.48,949.92,228.3462,March,Q1,2025
2025-04-16,Sales,1175932.83,251,42,0.1683,225.9,9487.65,122.9435,April,Q2,2025
2025-04-16,Marketing,153802.78,1799,211,0.1175,104.49,22046.49,5.9763,April,Q2,2025
2025-04-16,Operations,359192.16,89,64,0.7233,147.72,9454.0,36.9937,April,Q2,2025
2025-04-16,Customer Success,118988.07,20,4,0.2356,162.68,650.73,181.8535,April,Q2,2025
2025-04-16,Finance,298262.89,55,14,0.2588,103.12,1443.64,205.6049,April,Q2,2025
2025-05-16,Sales,938614.23,360,72,0.2013,198.76,14310.42,64.5896,May,Q2,2025
2025-05-16,Marketing,139419.39,1431,75,0.053,126.67,9500.09,13.6756,May,Q2,2025
2025-05-16,Operations,394214.16,51,23,0.4698,97.56,2243.97,174.6769,May,Q2,2025
2025-05-16,Customer Success,265587.08,66,12,0.1942,199.12,2389.47,110.1488,May,Q2,2025
2025-05-16,Finance,204710.6,24,7,0.2997,101.84,712.85,286.1733,May,Q2,2025
2025-06-15,Sales,1150472.25,251,51,0.2041,153.39,7822.87,146.0652,June,Q2,2025
2025-06-15,Marketing,61327.38,1488,74,0.0502,188.55,13952.84,3.3953,June,Q2,2025
2025-06-15,Operations,261291.69,88,39,0.4476,139.85,5454.02,46.9081,June,Q2,2025
2025-06-15,Customer Success,288883.51,46,5,0.1103,168.56,842.82,341.7574,June,Q2,2025
2025-06-15,Finance,273375.58,39,10,0.2656,144.54,1445.37,188.1382,June,Q2,2025
