review_id,customer_id,review_text,rating,date
R001,C001,"Great product, excellent service! Highly recommend.",5,2023-01-20
R002,C002,"Good quality but shipping was slow.",3,2023-01-25
R003,C003,"Outstanding experience, will definitely buy again!",5,2023-02-01
R004,C004,"Product didn't meet expectations. Disappointed.",2,2023-02-05
R005,C005,"Excellent value for money. Very satisfied.",4,2023-02-10
R006,C001,"Customer service was helpful and responsive.",4,2023-02-15
R007,C006,"Average product, nothing special.",3,2023-02-20
R008,C007,"Fantastic quality! Exceeded my expectations.",5,2023-02-25
R009,C008,"Had some issues but support resolved them quickly.",4,2023-03-01
R010,C009,"Not worth the price. Found better alternatives.",2,2023-03-05
